rank,message
negative,i can't see shittttttt  i'm not wearing my contacts.. i hope i'm sapelling everything right .. -__-x
negative,is going to watch brothers and sisters all night!..whilst being sad becuase im not at girls aloud 
negative,stuck inside doing paper work again...lol The AC is not on today and its suppose to hit 100 today  Must leave soon! LoL
negative,@DakotaRae site has a lot of dead links and didnt work for me 
negative,whenever Radio by Cash Cash comes on I think how cute they all look when they r jumping trying to get the crowd to jump! I miss them. 
negative,"Just watched the Series Finale of Prison Break....SO SAD, but So Awesome, really going to miss that show "
negative,@glennw @glennw Ive seen him before in other stuff. I think he's actually got a Yorkshire accent. 1st episode ain't got me hooked though 
negative,"@RebeccaHappy I didn't make it to changecamp -- had to be at the theatre mid-morning, and closing show in the aft... buggered up my day! "
negative,ugh. comic con brunch of  to long 
negative,@MicroGTD But what is the most important word: creative? or chaot? Think that many ways lead in the old deadend street. Even you reboot 
negative,Yard work.... but I wish the weather was nice 
negative,I'm really bored now. School tomorrow 
negative,oh ok. Thanks for saying bye. i thought we hit it off when you were here this time. Guess not 
negative,getting sharp pains in the back of my head  Its not a tumor.  I think.
negative,@millelovespeace missing our voice lessons together  hun i miss you
negative,Started a 3 page essay at 12 and is still not done with it.  I don't know what else to write.  C4rLo5
negative,@moooris   Sorry i cant read your font 
negative,@Killaya I've been told she only had the after show pass and didn't meet anyone. 
negative,It has been so nice outside I have been spending all time time out there and ignoring the twitterverse in here. Sorry 
negative,Is a lil upset..I want to go to the Lakers game  ..Journalistic Dreams..
negative,"wow, my sites STILL not working. "
negative,finally finished all 10seasons of friends. eyes hurt from the crying 
negative,Some1 please keep me updated on the game working and tv messed up 
negative,Just ate A LOT more than I should... 
negative,Lost and Found Lost Nikon Coolpix s210 - Bay to Breakers  (USF / panhandle): i lost my camera a.. http://tinyurl.com/q2k7vz
negative,my sister pissing me off with armenian techno  
negative,"@Monica2112 oh gosh that sucks! but good to hear you're ok!! there's almost never any here so I have no idea, but it sounds scary "
negative,@peteyorn I didn't feel it. 
negative,"@mizellw Yeah, no shit. But he's been dry too. "
negative,Ouch! My muscles hurt after the ladiesrun yesterday 
negative,I DONT WANT YOU TO TALK ME TO ME   YOU CREEP  ME OUT STALKER MAKE ME SAD 
negative,@DavidArchie LOL. sucks for people who drive.  
negative, at when Pac got shot in vegas
negative,I can't believe i'm still awake! It's making me nauseous 
negative,"Melly is going to post her first post soon on Marchwheezers blog. Just be patient, cos she's busy with her Tongue in Chic work. "
negative,@therealTiffany lucky!! i wish i could have felt the earthquake...but i live in oklahoma 
negative,"sun, but i wont be able to enjoy that being in the garden today "
negative,@SkylineMusicFan all french support for this day shame can't be here!! 
negative,@myucan91 lol which is good. i'd kill to stop drinking too much...   its exhausting sometimes..
negative,exam today 
negative,Work work work! 
negative,@Wossy mornin . i`ve got exams 2 
negative,twitter isnt as exciting as facebook 
negative,"wants to cuddle with @ownzu, but he's at work "
negative,i dunwan the 'LEAVE' to END!!! 
negative,Morning all! 4got charger @ the weekend &amp; my battery didn't last the journey home  looks like I missed alot in twitterland xx
negative,i think baby elle has an eye infection-calling the doc in a few hours. it doesnt appear to be bothering her  still feel bad tho...
negative,@MartyJB123 yea i know. but it hurt.  i'm telling my mom on you right now so she can call you and tell you you're on drugs.
negative,"Morning chaps and chapesses, lots of revision planned for today! "
negative,Haha I have a lot of homework fml   Woot I'm watching cars Lol
negative,Inauspicious start to the day...dropping my tea mug 
negative,@Rhi133 concentrate woman! @jonathanrknight needs us now!!!! Crazies have been acting up again... annoys me SO MUCH 
negative,"@BrandyWandLover see! Can't even type properly! Am a bit befuddled, tbh! Reckons he's gawn now   xxx"
negative,@burcuakyol there are now 130 infected. No deaths. city is on high alert. All schools canceled. Everybody in masks. I've got a Corp class 
negative,"back to work ! &quot;thanks&quot; to a minor accident yesterday, i cant go running  , and im wearing sneakers to work."
negative,Just came back from the hospital 
negative,@Theholybull welcome to whinycuntsville.. population: me 
negative,@minjuuuu nahhhh i got it from some place on king st. yum i love the risotto! staying back working.....no gym tonight 
negative,"@Sayamelon And there's also young Scot! Oh, I liked Scot.  The way they killed him in that other movie was so retarded."
negative,"morning all, i fell very poorly today so tweet me quietly please. "
negative,housewarmings are awesome! cleaning up the next day however...uncool 
negative,@backseatsurfer9 Fantastic. 
negative,@KLASIK1 haha true! Awee no  I know sucks to be me but I'll be working in Canberra pushing the buttons  I hate my life lol
negative,@daghe iono  a drive through I guess I'm solo  lol
negative,Taking my little sister to the doctor   http://twitpic.com/5ewrt
negative,I want to be home 
negative,no one to twitter 
negative,no one wants to room with me so i need to find one.... 
negative,is wondering why it only ever rains when i have to venture outside 
negative,"@hollingsworth ooh that's no good... I had no problems, so don't know what was going on with it... "
negative,Monday morning ... 
negative,@RedRocksBurly Work.....then housework.....so not at all exciting! 
negative,Holly crap! I can't sleeeeeep! 
negative,"@babygirlparis oh, really. i live in australia so i didnt hear about it .. sad to hear  hope everything is okay."
negative,"Other secretary off. Just me, and TONS of work "
negative,had a really shit nights sleep last night 
negative,@Ree_ it's ok to have laughing lines..plz dont be plastic 
negative,Finally done with my paper. Now for 2.5 hours of sleep!  Related: Is it bad that I'm ready for the weekend only 2 hours into the week? 
negative,My Favourite website is down 
negative,Some people talking alot of bullshit in the morning damnnnnn 
negative,I broke my nanna trolley on saturday  and I was a 20 minute walk from home. FML ...... and I ate too much for dinner.
negative,@christineknight Sorrrrry  Will I ever be forgiven?
negative,"@mousey76 aww  i feel for you.  listen to the radio, they usually have competitions for free tickets, you never know, you might win"
negative,"@__MissB And yeah, I gotta say i was pretty shocked to hear about you and rob..  I hope it doesnt come down to that for me and james --"
negative,@_Flik_  What kind of work do you do that let's you still be in bed at 10:20 in the morning?!  I've been on the go since 07:30 
negative,@adamrichard same here...sad but true 
negative,"is missing an old friend who refuses to talk to her.He wants to be left alone,but I don't feel like it  I m miserable !"
negative,@daisy_thomas Poor you 
negative,Wishin' @SkywayAvenueXx the best of luck right now! I know how effing frustrating Math is...  ily
negative,@MyLuckyPenny nooo I didn't!!  what what what did I miss????!!!
negative,I am feeling sooo guilty about giving the dog a black eye  Usually I don't actually HIT him when I throw his ball...
negative,@moosh_boint I'm so tempted to install Sims 2 again 
negative,@bekisbest ohmygod you poor thing  why did they do it?!
negative,Was in the commen room on the hill but unfortunatly joe joined me 
negative,@tommcfly What do u do when u get a writing block.  Please help me i have one  and its depressing me i cant write a good melody  ly xx
negative,"Four days in, and we're already fighting to reclaim the English language from Rails. "
negative,"i am back from stoke, pip/rob had puked on the living room floor this morning  it looked like cat food, and rob is vegan, so probably pip."
negative,"@BoyCook ah yes, that's true. Given the current rate of burndown on this Oracle integration, I'd say give me 2 weeks. "
negative,looking at some photo's of my Dubai's holiday!!! Enjoy it heaps I want to visit again Missing ztiwokah  heaps 
negative,Grrrr can't find my birth certificate and I need it! Going to have to order another copy which will take too long to come   
negative,@Frostae i watched it yesterday. it is so good ae. the ending is unfair and sad though 
negative,Just discovered why not heard from boss recently. Company insolvent - am now unemployed software engineer   Chocolate time!
negative,I can't sleep and i got work at 8 
negative,Dang it's raining. 
negative,School  thank god i get to sleep in more tmr
negative,Arrrrrrrgh stuck in traffic  otw to mba Tina's house for yoga
negative,@TheadoraKeeling  i love you thea!!
negative,"At work, latte in hand, just realized that next week is a 3-day weekend, while that's nice and all, I can't bill for days off "
negative,@martinrstone  Were you aware of this? http://bit.ly/hJjfA Think winners  were biased towards technology rather than content 
negative,"@sweet19 No big. Stupid PhotoBucket won't let me post my new stuffs.  Yeah, I'm a sophie na - my goodness, such hell!"
negative,just a really really boring day 
negative,@OlivaIan thinking of having a Padilla Hybrid since the wife STILL will not let me buy any more Nubs 
negative,Just popped some more medication.  wondering how this will look once I go to work.
negative,"I'm hungry, and I'm going to need to go shopping. Argh, that requires effort "
negative,@dictionmary really? you don't like? 
negative,@JancisRobinson Grange is 50% more than that in Australia! Always the most expensive closest to the source 
negative,why can't I upload my stoopid picture? It won't reduce down to 700k...  boo
negative,Major problem this morning!  My washing machine is broke!!  Won't spin or drain.  Water still in it.  What am I going to do? 
negative,Pesky Dutch mosquito bit me in my right hand - all red and swollen now. And it's not even summer yet. 
negative,back at work. Finish tomorrow which isn't a good thing for my pay packet 
negative,"is looking for stuffs (books, bags, shoes, etc.) on the internet. Wanna buy them aaaaaaall. @-) Too bad I've no moneeeeey "
negative,@steeffs aahh nooo  maybe it isnt too bad!
negative,"@trendyshoppes I spent the better part of yesterday trying to fix it. Now I have to bring it in.  Thankfully I have a laptop, tho."
negative,is wondering why it's a little chilly this morning. 
negative,@blush__  fingers crossed if i get the job  i forgot to give you peppermint pattie on saturday night 
negative,brain still spinning up for the week. Wish it was still Sunday. 
negative,"@gonepie it was the second link that was broken - for your site - the twitpic was working, now it is not "
negative,@130587 awwww  i'm so sorry!!!! there will be other gap toothed boys for you
negative,I'm tiring of being tis sick. Wish I could call in sick but I'm already at work 
negative,@kezz105 They've already left! 
negative,why hasn't stephen dry replyed to me 
negative,@restylestari ouww  i tho my superhost restylestari really got dat job !! fuhh.. it is alrite huh! do u want togo there ?
negative,my arm hurts 
negative,"clearing out my text messages, such tedious work "
negative,"Sinus pain and runny nose still there, tingly throat coming back. Downed vitamins and glass of Airborne. Need tissue travel pack.  #tek09"
negative,Missed ellen This morning  lucky its on agen  at 12 Yayy
negative,disappointed that wolfram alpha doesn't seem to know much about Australia. 
negative,hating divorce proceedings 
negative,missin MY  BROTHERSSSS!!!!!!!  my guys im checkin out ur photos but old pics like 5 years ago im just cant stop cryin cuz u guys grow up! 
negative,@BethGCentury21 Aww...we will be praying for you. I know that is no fun. 
negative,Tried to hurry and bolt the panels down without steeltoes but i got busted.  eRiCa
negative,star party is over  .....................booty cruise is 2 weeks away 
negative,"Allergy pill hasn't been working last 2 days, think I'm getting the death cold going around the office. Yay "
negative,@moepower Photoshop CS4 took out a BUNCH of stuff that was kind of vital.    I'm not liking it so far.
negative,is at six form!!!  for the whole of 1hr30 mins!! Not goood!
negative,@MlleNoir Good thanks. &quot;Weather warm&quot;? You are lucky if you're serious! Windy and wet here 
negative,"yesterday, said individual then informed me that we were not in his event at all and that we should look elsewhere...gotta love this guy "
negative,Today's #weight = 167 :: Day 75 of 100: +2.2 lbs/lost 17 lbs &amp; 12 lbs 2 go. Sooo mad at myself for not tracking yesterday! Grrrr... 
negative,all good things must come to an end. packing &amp; heading home  it's been a blast...bye bahamas!
negative,I just hung up my HSM wipe-off board at work &amp; now terry's not speaking to me 
negative,@carrielee oh!  did you go all the way back home for your laptop?
negative,@SabrinaHenry man! I swear living here is really beginning to suck. last year it rained. photowalk is the meetup group 
negative,didn't get breakfast again today  *hungryyyyyy*
negative,Workin from home today bc I'm sick...  ughhhhh
negative,"@Nicward2 No fun, I don't want to win...I want to play  lol"
negative,@_Maral ah ok  I don't understand why they always fuck up good stories... lolz
negative,"pissed because his phone just stopped working Saturday! He's buying a new one on ebay, so you can't call him for a couple of days. "
negative,"@xjeannie keep telling yourself that, but it's not gonna change "
negative,"@mark0121 It was like...or copy now as last option, or study all summer long this damn subject, and finally I will study all the summer "
negative,@nohat since you're up early - you can add me as someone you follow! I only have one follower - it makes me feel unpopular 
negative,ahhhaaaa WIN. my mouse button is clicking regularly again. also: DNW to go to work today 
negative,ugh! I have to work til 7 tonight  but then I get to leave early sometime this week!! which will be Friday the day before my 2 week vaca!
negative,had to have my doggy put down. My Cindy 
negative,@8emily8m ugh im sorry 
negative,I can't keep pretending I'm fine with this. 
negative,"&gt;&gt; propel    Running &quot;om&quot; phing task -&gt; Bus error : Mooookaaayyyyyyy, le bus magique se craque "
negative,"@kittie86 last tweet is for you, I forgot the'6' "
negative,just gobbled down a shit load of pizza slices and she feels like crap 
negative,"Adoring the gorgeous weather, people and ice-cream. Looks like inglorious basterds is sold out "
negative,just got home from Tito Tom's wake.  Sad. HUGS for the whole Lazaro family! I love you guys!
negative,"Everyone in the house left me, and now i'm all alone "
negative,training tomorrow. tsk. 
negative,@eminem you think you could make any concerts not in michigan? It's quite hard for me to get over there  I entered the concert but....
negative,pain in the back of my head  ouchhh
negative,tea sux in this house btw  need an upgrade!!! v poor quality!!
negative,"Still gotta study for the physics test! So many tests being held for the coming days of this week, next week, n the other week  HELP!"
negative,Bout to do lunch wit da fam b4 my aunt catches her flight 
negative,Going to the united nations today and ten we go home! I don't want to leave NYC! 
negative,Goooodmorning(: today is going to be a great day! 
negative,Not feeling so hot  pretty congested and have a little cough. Prayers would be appriaited cuz i can't afford to get sick again.
negative,I wonder how boost is doing 
negative,burnt my hand  now its blisterd  and now its weeping 
negative,"I'm watching 'The Notebook', and I actually find it sad  i'm not heartless after all"
negative,Morning all. I need help...what's the best blackberry twitter app? Twitterberry won't let my upload pics 
negative,So sad - tonight is the season finale of Gossip Girl and One Tree Hill   Gonna miss CMM and HB.
negative,Is finding it impossible  to sleep with taylor... And i need sleep 
negative,"@WaffleQueen Next time I get some free time, I'm making one for you, although you don't really call me that often. "
negative,@247cantbstopped you could have called me early and we could have had egg white omeletes!!! 
negative,Pandora needs an option of going back to the previous song.  I hate to accidentally double-click
negative,@B_A_D What happened? 
negative,Doing yard work ... still have to wait to put my flowers in the ground  damn Ct. weather
negative,helping lauren pack 
negative,"@mitch_41 you're welcome! Urgh this feels way too early to be up after my 2 days off  yes yes yes, mega house warming party please!"
negative,@Bookstorebabe21 hahaha oh noes my multiple characters-ing freaks you outs! Noes! 
negative,@waydomatic - @anthonyshort... Boooooo! HR &amp; conference sites 
negative,@yewww ouch it hurt 
negative,thinking of where my blue monkeys have gone. 
negative,"how not 2 start the day.. Radio alarm goes off, an its Viva la vida  ah well"
negative,im sooo tired and i cant sleep cuz my head suddenly decides to hurt..  its almost 3 in the morning! 
negative,@nagelface Awww so sweet! I'm sad that I had to miss it 
negative,only 5 oclock 
negative,@Pink Still want to meet you and get ur autograph tattooed!! PLEASE allow me the privlige of letting this happen  
negative,is upp..  jay and kayden down 2nite (: ...x
negative,dammit i am meant to be 'working from home' - then why on earth am i doing work? no fair... 
negative,Just realised I have @hueyyei 's psp in my bag. Can't play it now though.. 
negative,Having a bad end to a bad week ... Never going to be a great coder at this rate  #nevergonnamounttanuthin
negative,I should be going I might be late  I always get told off for lateness!
negative,went shopping got new dress for engagement party. and new booky wook - not russel brands though 
negative,@leneisefjaer awwwww why hunny?! 
negative,has the migraine from hell.... help me 
negative,"@Leonessa1980 sadly, I don't think I will "
negative,I'm slowly coming to the conclusion that work is for suckers...  But my bank balance says that i need to be a sucker 
negative,why is sleep so evasive? I can't turn my brain off! The subject if my nightmares is front and center in my mind!  GRR
negative,I feel like I have an exercise hangover today: everything aches and I feel exhausted. Today is going to be a long day as well... 
negative,Crappy start to the day. Need some cheering up music but the iPod isn't delivering 
negative,"Donuts are being offered, my hangover says yes, my diet says no "
negative,doesnt have much to look forward to at the moment. 
negative,"Bad start to the day, I failed to avoid the #DeathSponge on the way to work "
negative,@Rosipoo resetting deletes everything and tts not cool! the files are inside (cos I check thru My computer but itunes/ipod cant read it 
negative,Tea with oat milk doesn't work. Now making my 3rd cup but haven't drunk any yet 
negative,At work a lot of mail today  also running late but still 4 T
negative,I can't fall asleep! This sucks 
negative,"Watching Harold &amp; Maude, then sleeping for an eternity. It's been a fun week, but I need the rest. On the downside, my laptop is dead. "
negative,"@MinuteDesigns Tsk, been there before mate. Made a multi lingual CMS then was told by my boss to fill in the content, took aaaages. "
negative,leaving new york today 
negative,@BgirlShorty I'm so excited u guys r coming. I hope I can go. Got graduation that weekend.  busy busy... But stoked.
negative,@jenniebellie Also boo to not good shopping.  
negative,@miss_smidge I thought you had given up the ciggys????  You were doing so well 
negative,my boyfs mum is movin 8doors away from my mum 2 mins down the road from us How close is to close? Not looking forward to this at all 
negative,"Ow, some little creep has got into the right side of my head with a hammer and is pounding away "
negative,@HappySinger The ONLY way I can persuade you otherwise is to demonstrate my faith to you - and we are 11000 miles apart  I'll pray 4 now
negative,Think i am going give up on my quest!! 
negative,im grounded and sad while my friends are shopping i am revising and doing chores! 
negative,tonsillitis strikes.   unpleasant feeling.   voice gone.  still contagious.  have medicine.   going home.  tea soon.  no whiskey 
negative,"Oh well, its your perrogative whether to believe me or not so ok then fair enough  xx"
negative,"Just saw Terminater, not that good. "
negative,pff what a night.. soooo tired! 
negative,my myspace won't delete  everything is going so wrong.. I hope I'm dreaming.
negative,sedih di tinggal hanin 
negative,has to be up early tomorrow to fly out. sucky sucky 
negative,"Grand major insomnia, "
negative,Has got a boring day of Geography revision today 
negative,It's called:  what's eating Gilbert grape. it's so sad 
negative,"@antdeshawn i stay in massachusetts  dang that cld be years b4 dey make that, good job lollllll"
negative,Have to call T-Mobile when I gat home. iPhone is not finding any provider in the UK 
negative,Wait omg its a d if I don't get my paper today eh all that hard work for nothing 
negative,Very grey blanket across the sky   will there be blue anytime today? God willing
negative,I can't get a Zoom for the week off and it gotta be in on Monday. I've only recorded one interview. Massive fail. 
negative,looks like my head gasket has gone  boo!
negative,"Which audio filetype do I have to record to embed it in HTML for Safari Mobile? CAF, MA4, AIFF and AAC didn't work  #iphone #iphonedev"
negative,Im worried for my wonderful friend Helen who has told me she has got an addiction. Im hoping she can pull through this tough time 
negative,On my way to Tours. Sad to be away from my man for a few days  I will enjoy the family for now 
negative,"Shit, I missed out on seeing Watchmen again in the theater!  It's already left the discount theater.    Have to wait for the DVD."
negative,@catherinestack Agreeeee  im so going to fail these exams.
negative,Late night of work. 
negative,Nearly failed my english 
negative,@paigeebaby hhaha awww  lols your so lucky im so jealous lol
negative,@captainhayashi Yeh. That went to hell for me too! 
negative,@jaybranch it's raining? not where I am which is good cos I wanna sit outside for lunch &amp; read my book! Today's been manic  need massage!
negative,nuthing im off work sick n board 
negative,yay im inm bed now!!sleep tym for me..have wk tomorrow 
negative,@ElHafiz I didn't even drink! I just stated I needed one! 
negative,"@sammonti How are you, and when are you getting ungrounded.  We all miss you!"
negative,@Mikhailovna why don't you have @jaclynday in tow?  
negative,"@tammylynwilson Bronchitus sucks Tams. Thats the disease that makes your neck really long and your belly drag the ground, right? Ick! "
negative,Last day with Goljan 
negative,is on a Ban for memorial weekend yes.......sigh 
negative,Very vexed for A&amp;B twitter teacher   @mwclarkson @whereisab @jayerichards @schoolduggery
negative,"On the way to school, ugh. Late. "
negative,omg sew tired. DNW this test  I can't remember all these numbers!
negative,@kyleandjackieo Thanks for posting that.  A lil crushed though....  
negative,@SubVee But I have been duped into thinking it's a system font - doesn't work on Mac's! ANNOYING! 
negative,"today, i am nervous.because i have an exam next week. i don't want to review it,but i want to pass the exam !!! "
negative,#audi is off... next choice #volkswagen passat. Will have a look and testdrive tomorrow.. pff exiting stuff buying a used car 
negative,"@sevenwords don't even mention the WEATHER! I got drenched on my bike earlier. Now I'm back? You guessed it, blue sky, white clouds 15C "
negative,@BlackPlastic granted. It's bad enough my iPhone has been banned from my wedding day 
negative,Sitting in emt class signing yearbooks 
negative,"@BreatheSuccexy Good, but not as good as I hoped "
negative,"@jewelles101 I pole dance when i'm drunk. Sadly i don't get anyone putting money in my pants, just the bouncers askin me to leave. "
negative,@Galiiit we're doing the castle. 
negative,someone takeme homee. 
negative,Going to get books for class during the summer 
negative,I need to lie down after the GIGANTIC eclaire from dinner 
negative,Rachelle is not feeling too well this morning due to an adventurous night last night  now driving 2 hours to the Cape haha FML
negative,did not set my alarm this morning 
negative,Missing my GG and Idol fix  GG season 3 asap please!!! It's time to stop procrastinating on Pushing Daisies.
negative,@docbaty Actually it could just be a way they can save cash.. no need to serve lunch/dinner 
negative,@FrankieTheSats They're all sold out 
negative,@nicolerichie haha wow i was just watching that yesterday!!!! its from heathers but i cant remember what is said after  half points?! haha
negative,gotta work early tonight 
negative,I don't want to go back to work 
negative,@lethebashar Once upon a time I wanted to be a poet. I was terrible. I realized without anyone's help. 
negative,@OfficialTL hey tay..just wanna ask u...did u delete ur facebook account? 
negative,hmm....i could have chosen a better shirt &amp; different pants. and my hair could be 10x flatter &amp; i could have put more makeup on...! 
negative,@sam_woods it doesn't work 
negative,Argh you have to be 16 or over to work at jay jays. 
negative,"my spelling has gone shit, i used 2 b gd at it...years ago. i'm shit at it now "
negative,@ImajicArt it is a very sad one 
negative,ï¿½&amp;^^*$ï¿½% !!!!!!   Photocopier just died! And half way through pre-Sunday tree slaughter!  We are not amused!
negative,@domcannon aw babae you cant sleeeep 
negative,@parasolpierrot aww me too ! i feel lonely too 
negative,wishes that more Law Schools will rise in Makati aside from Ateneo.  http://plurk.com/p/vhm7j
negative,Do I just talk about myself and not to anyone?! If so... DULL!! 
negative,Why do I let myself drink 
negative,havent even gone to work yet and am already ready to come back home 
negative,@moogal would be so much easier if I lived in London 
negative,I want to be a kind person!!!! 
negative,Speed test Setiawangsa 22/5 at 9.56pm - Download 987kbps Upload 329kbps. Mac running XP natively using wired P1 Wimax Modem. 
negative,No payday for me 
negative,@peopleyouknow audioplayer van de website gehaald? 
negative,Wow so that just happened  no medical study for me
negative,"sorting out forum post, writing crite sheets "
negative,@rainbowchasing oops!? *lol* Sorry I kind of spam your profile with my updates  Hopefully you won't remove me from your follower list.
negative,@hairguru  I couldn't send you a dm. I've got a coworker that's always up your way - she needs style! - &amp; we may need gift certificates.
negative,@gfalcone601 it raind today and we got wet and they cancelled sports dat!!!  x x x
negative,Gotta put the bike up for awhile ... again!!  (near the golfclubs!) http://twitpic.com/5oxbr
negative,"is eating malteasers, i have work at 5 "
negative,@countingcrows You don't look either happy or well  Hang in there hon &amp; good luck xxxxxx
negative,still to grow :   	     	 		still to grow  		by KLaima http://tinyurl.com/ofsdog
negative,"@MikeShanePhoto no, not yet. "
negative,Can't believe it's Friday already? What have I accomplished this week? 
negative,* I Am Sooo Tired Still* 
negative,alex says the swweetest things 
negative,@MAKEUPMANMAE Ay dios mio! u Are coming HARD for me today! What did i do? 
negative,Year 11's left  quite sad
negative,aww... i think hayfever seasons started 
negative,@maakuhideki so tell me how'd you make it? plz?  hehe
negative,@Thiefree shock! its great.. it worries me that the film is going to have dialogue though  http://bit.ly/124vPz
negative,"Weather change. causing a head ache.  Have to work today, causing a bigger headache!  LOL"
negative,"@Gianavel Unfortunately not in 3D   Hopefully I will be when I'm back home from uni, if it's still showing!"
negative,@JanieceLincoln I would apologize but you are not following me ;-) I am one of those sporadic updaters anyhow (get busy and such) 
negative,"somehow my laptop battery isn't working, my now new macbook.. is now a desktop. "
negative,Feel very crappy.  Have dayquil &amp; &quot;gollum juice&quot; (not as gross as it sounds) &amp; about to decide on first &quot;feel sick&quot; movie of the day
negative,@socialmania  not enough if I'm honest 
negative,@RachelLock22 sucks!!! 
negative,@leslieberg yes it is 
negative,OMG I had a dream I could do the splits PERFECT! It was crazy!! lol but just a dream 
negative,@ratgirl77sorry to hear that 
negative,sickk  watching movies all day.
negative,I just don't get how this is supposed to work 
negative,"Dear Allergies, go pick on someone your own size...leave me alone, i'm so mean!! "
negative,Wishing @jennifaojennyjen all the best. Sending her lots of XOXOXO's . Hope everything works out 
negative,@dearlennon i h8 wesbian. who died on hi? aaaandddd i wish i was home. 
negative,Worrrrrrk.  I wish I got off earlier then 5.
negative,@micaylakeeley I ran over a dead squirrel with a lawn mower once. Saddest thing ever. At least it was already dead. But it was messy. Ew 
negative,frickin summer 
negative,"@wmdev the code worked, but it's unable to process my request at this time... "
negative,@Lloyal damn!! i havent smoked since i killed that roach you left i think 
negative,Today I took a good look in the mirror and realized something about myself ... I really need Botox injections in my forehead.  
negative,"Run down : had a wonderful day, shopped, @BadBoyHenRoc was nice nd found my twin @212HARLEMG ...but the cavs lost "
negative,"@CSI_PrintChick OMG Jen, I hope he gets better soon!! Poor little guy..UTI's are no joke. "
negative,@evyevol I hope it doesn't that would suck 
negative,Hmmm . Just waiting too hear the recording of me at Stage challenge  . Silly Zm hasnt played it yet lol
negative,It's so weird not to see American Idol tonight  I miss the show. I miss Paula  sad night...
negative,Sooo lazy to do homework! 
negative,why is the mac lab so bloody cold 
negative,hey yall pretty enlightening day and what's up with VA witholding benefits? 
negative,Wow.  I'm shocked and saddened to hear that former Toronto Maple Leaf Peter Zezel has passed away at the age of 44. #leafs
negative, you will be better with time Jimmy. Take motrin or nyquil
negative,@rochlatinsky it still works for me? don't know what the problem is. booo-urns 
negative,i gotta get up super early......but i dont wanna go to bed... 
negative,@armonde looks like it might be sooner rather than later 
negative,hates my life right now 
negative,Check out the new site: http://dhanecrowley.com while I figure out how to fix this MacBook charger or get a new one 
negative,someone give me the answers to math. jk jk HAHA i wish. i don't wana do math hmwk. i also hav to study for grammar final tomorrow 
negative,@amandathall why?  new york is great! You have to give it a chance.
negative,"@cutiemoet :yep..im part of the varsity team of our school,.and honestly,i suck.kidding.., "
negative,@nobzy Yeah it's ages 
negative,i seriously can't put my own picture 
negative,sorry twitter I haven't been able to get online tonight. so busy at work. and prolly won't be back on the rest of the nite. 
negative,i miss when @jennettemccurdy didnt have like 34923433 followers and actually used to reply back 
negative,I so not want to work today. 
negative,Looks like it's just stress related... Too much drama in her life right now.  Thanks everyone for the support.
negative,that DID NOT work 
negative,@erialcgrove I missed those parts...  and please let's not refer to tomos beard as any kind of storage place. That's just scary.
negative,@peacelovinamber haha no  just the trailer baha
negative,Brian Austin Green is so hott. ? Whatever happened to the original 90210? I miss those days 
negative,Thinking I am making a big mistake just to help pay my bills. 
negative,"@che3 just wondering,4 spam support role, did you want only local candidates? just bummed i got denied despite previous spam job at ebay "
negative,"I like being on the board of my various non-profits, but it's starting to seriously mess with fun sporting events  Go Giants tomorrow :0)"
negative,Dying. Hope this pain killer helps. I foresee urgent care center tomorrow. 
negative,@avtherav how was the Hip show? Worked too late then did something they'd approve of: went to play hockey. Prob won't make it tommorow 
negative,@Mummyofmany when u find a solution let me know. It's impossible to sleep in around here 
negative,@numb_kisses How come you're never online anymore? 
negative,what's the point of having a cell if nobody txts or calls  me     might use it as a paperweight      
negative,thinks it's time to wear my Cams 24/7 .......as nothing else fits  Potato sack seems appropriate.
negative,"well I guess I'm goin2bed early2night  tried to kick it,but that idea got kicked n lol  not not tweets I'm about2take it n!!"
negative,@reneeporsia No I haven't been home in a few weeks.  Sorry - must ave been someone else!
negative,"(Cont'd) Work was lame like always. I was going to take some pictures tonight, but didnt feel like it. We're about to move soon. Further. "
negative,i miss talking to my baby. . 
negative,"@leetherriault I know. I switched it up, but it's being a pain in the butt. "
negative,missing him tremendously 
negative,my head and throat hurt 
negative,Watching tv bored 
negative,"Woke up out of sound sleep to ice off my sock. Stupid new shoes. Stupid lack of bandaid. Fail, me. Fail.  Ow "
negative,Cant believe WLVM bought me a big ass ice cream of my favorite n since 9pm  its still in the fridge  n i dont want it !!!
negative,On the way to Gamma Construction... I miss @mlo85 
negative,@userealbutter so wish I could go to BlogHer 09  As my mom would say &quot;get a real job first&quot;...is getting a sugar daddy a real job?
negative,shares travis will be fine...   http://tinyurl.com/ov3n9a http://plurk.com/p/wlbuu
negative,I missed taking a ride with someone in a R8 today... awwww...  *sniff*
negative,where can i find an indian youth study on the web for free. i know its asking for much 
negative,"@OishiiEats ~ I do feel bad for the kids. I know K to 3rd love summer school, and our ELD students really benefit from it. "
negative,@ddlovato that's mean 
negative,@etherjammer @The_Prophet @JusticeJuice Thanks for the hugs. 
negative,yawn morning I've had an hours sleep  x
negative,@darthvader Why'd you let Kahmunrah shake you off with *you've got too much going on*? You rock harder than him  #NATM2
negative,Who wants 2 hang out tomorrow or the weekend? I will be alone and bored 
negative,"Long day. Finally getting some sleep. Last day of after-care tomorrow  Then, girls night out. Sweet dreams tweeps ?"
negative,@haritapatel ...it turns my smile upside down 
negative,Today was a sad day. 
negative,@NatashaAnnmarie dang u be havin so much fun i dont even hear from your BAd@$$ 
negative,is gonna go running this weekend...........long course is very long 
negative,i feel so left out 
